Value Groups Group2
0.245615928 G1 red
-1.46759781 G1 red
0.361766542 G1 red
1.146569678 G1 red
-0.334196347 G1 red
-0.512298667 G1 red
0.49959838 G1 red
0.455221472 G1 red
-0.081200231 G1 red
0.154023505 G1 red
-0.401439188 G1 red
0.225267788 G1 red
-2.27512348 G1 red
-0.925461753 G1 red
1.086103952 G1 red
-0.819734608 G1 red
-1.471379889 G1 red
-1.62235926 G1 red
-1.170962116 G1 red
-0.078122763 G1 red
0.949823939 G1 red
-0.451043807 G1 red
-1.019490792 G1 red
-0.739439117 G1 red
-0.586004929 G1 red
-2.26780657 G1 red
-1.13055856 G1 red
-1.553697779 G1 red
-0.225573922 G1 red
0.042169428 G1 red
0.706088011 G1 red
-0.218555683 G1 red
0.730649201 G1 red
0.290414329 G1 red
0.656153218 G1 red
-0.994697822 G1 red
-0.557544857 G1 red
0.514531359 G1 red
-0.310510513 G1 red
0.911040455 G1 red
-0.242593815 G1 red
0.350235844 G1 red
-0.557072795 G1 red
0.917900364 G1 red
-1.769940955 G1 red
0.477766573 G1 red
-0.465688881 G1 red
0.502072284 G1 red
0.477877184 G1 red
0.874364037 G1 red
-0.507960753 G1 red
0.073353368 G1 red
-0.253865594 G1 red
1.140181134 G1 red
-0.112163768 G1 red
-1.730328021 G1 red
-1.460958265 G1 red
0.127522979 G1 red
1.206554159 G1 red
-1.238269044 G1 red
-0.308443502 G1 red
-0.155773931 G1 red
0.722581338 G1 red
0.833712339 G1 red
0.311756699 G1 red
-1.287105136 G1 red
-0.366115437 G1 red
0.49604812 G1 red
-1.243924208 G1 red
-0.311782095 G1 red
-0.027738509 G1 red
-1.321894122 G1 red
-1.626199908 G1 red
-0.075466867 G1 red
1.382893017 G1 red
0.304418544 G1 red
-1.054631047 G1 red
0.203397786 G1 red
-0.858420171 G1 red
-0.222762234 G1 red
-0.130553213 G1 red
0.894652511 G1 red
-0.572284201 G1 red
1.524454283 G1 red
0.604981219 G1 red
-0.852748337 G1 red
-0.514707143 G1 red
-0.631349583 G1 red
0.641200522 G1 red
-0.174329859 G1 red
0.039514206 G1 red
-1.787381021 G1 red
-0.094205091 G1 red
1.05310471 G1 red
1.225502026 G1 red
1.199935953 G1 red
0.58397945 G1 red
-2.100486835 G1 red
-0.674851932 G1 red
0.173705571 G1 red
-0.049828489 G1 red
1.030951885 G1 red
0.094823417 G1 red
0.927996674 G1 red
-0.814507419 G1 red
0.792614749 G1 red
0.465183105 G1 red
0.54475054 G1 red
-1.299492877 G1 red
-1.397518323 G1 red
1.323014229 G1 red
-1.166715534 G1 red
-0.36976455 G1 red
0.591400071 G1 red
-1.371177071 G1 red
-1.710828116 G1 red
0.708717929 G1 red
-1.197432385 G1 red
-0.465446291 G1 red
-0.17189435 G1 red
1.799498885 G1 red
2.148545287 G1 red
-1.765166075 G1 red
-0.020883528 G1 red
0.082689834 G1 red
-0.111192766 G1 red
-0.335501735 G2 green
0.145304211 G2 green
-0.238681649 G2 green
0.188207631 G2 green
-2.304609732 G2 green
-0.639907488 G2 green
0.37934766 G2 green
0.172332581 G2 green
0.665624582 G2 green
0.484062289 G2 green
0.532861479 G2 green
-0.100281518 G2 green
0.55900226 G2 green
0.306911074 G2 green
-1.292418331 G2 green
-0.742691345 G2 green
0.340684223 G2 green
0.180119316 G2 green
-2.276672396 G2 green
1.493405657 G2 green
0.975191438 G2 green
0.557630332 G2 green
-1.736140035 G2 green
-0.989810337 G2 green
-0.100807391 G2 green
0.744151 G2 green
0.324281443 G2 green
-0.167884862 G2 green
-0.434999134 G2 green
0.59865839 G2 green
0.66849918 G2 green
-0.487404947 G2 green
-2.147302241 G2 green
1.197333656 G2 green
-0.638612538 G2 green
0.90571415 G2 green
0.376482198 G2 green
0.537156935 G2 green
1.615857215 G2 green
-0.529300671 G2 green
1.175788716 G2 green
-0.615415841 G2 green
-0.880758857 G2 green
-1.125632519 G2 green
-1.036283625 G2 green
0.302891674 G2 green
-0.670613933 G2 green
-0.156429365 G2 green
-2.352236128 G2 green
0.60272187 G2 green
-1.482506665 G2 green
-1.632607897 G2 green
-0.695506955 G2 green
0.479066211 G2 green
-0.304813876 G2 green
-0.415409529 G2 green
-0.371658387 G2 green
-0.689178257 G2 green
1.201985553 G2 green
0.041220916 G2 green
1.138145884 G2 green
-1.36445109 G2 green
-1.514181976 G2 green
1.10802476 G2 green
0.416069462 G2 green
-0.828820764 G2 green
-0.137745301 G2 green
-0.394082273 G2 green
1.919601922 G2 green
0.503493809 G2 green
0.314659075 G2 green
-0.407893966 G2 green
-2.56495533 G2 green
-0.477117921 G2 green
-0.93478118 G2 green
0.286804842 G2 green
-0.838782189 G2 green
-1.463880279 G2 green
-0.755014042 G2 green
1.194871938 G2 green
1.117980179 G2 green
1.696327955 G2 green
-0.330556589 G2 green
-0.056663072 G2 green
2.030372818 G2 green
-0.636008745 G2 green
-1.5457489 G2 green
-0.421491113 G2 green
0.490401455 G2 green
-1.124652912 G2 green
1.81514197 G2 green
1.362894446 G2 green
0.229435337 G2 green
2.122562309 G2 green
1.537966365 G2 green
-1.615181051 G2 green
1.483023662 G2 green
-1.018080075 G2 green
0.844525671 G2 green
0.75648779 G2 green
-0.285352012 G2 green
1.635612754 G2 green
0.130124042 G2 green
0.800633053 G2 green
1.406933388 G2 green
1.193735824 G2 green
-0.774185935 G2 green
-1.864094806 G2 green
-1.172824438 G2 green
-0.478257761 G2 green
-1.525131071 G2 green
0.54720879 G2 green
-2.371115208 G2 green
1.552222846 G2 green
0.457753931 G2 green
0.236082533 G2 green
-0.598474097 G2 green
-0.956372496 G2 green
-0.069174991 G2 green
1.051580067 G2 green
0.05639162 G2 green
-2.494338146 G2 green
0.019980213 G2 green
2.132493232 G2 green
1.004571015 G2 green
1.209815187 G2 green
-1.468442977 G2 green
0.320245094 G2 green
-0.338298053 G2 green
-0.628082816 G2 green
0.969592512 G2 green
0.054308506 G2 green
0.061932078 G2 green
-1.317305794 G2 green
-0.617613363 G2 green
-1.804239281 G2 green
-0.472183685 G2 green
0.973667973 G2 green
-0.340497499 G2 green
-1.005560829 G2 green
0.342560374 G2 green
1.687940363 G2 green
0.328360056 G2 green
0.013692034 G2 green
-0.280088969 G2 green
1.494148035 G2 green
1.008180332 G2 green
0.127871981 G2 green
-0.884371921 G2 green
0.515690436 G2 green
-0.207517162 G2 green
0.734127471 G2 green
1.015504239 G2 green
0.380864668 G2 green
-0.823165159 G2 green
1.471093641 G2 green
0.313432231 G2 green
0.224961175 G2 green
-0.409064595 G2 green
-1.957221023 G2 green
0.33875359 G2 green
1.398484247 G2 green
-1.175511279 G2 green
-1.115246411 G2 green
1.575475607 G2 green
0.715814572 G2 green
-0.896567396 G2 green
0.88913949 G2 green
0.113862255 G2 green
0.329998602 G2 green
0.842976935 G2 green
0.062175209 G2 green
2.173464173 G2 green
-0.33072439 G2 green
0.803954756 G2 green
1.266254694 G2 green
0.636345614 G2 green
-0.894094371 G2 green
-0.037709712 G2 green
0.082236024 G2 green
-0.487316405 G2 green
-1.042558535 G2 green
0.310753824 G2 green
0.71336776 G2 green
1.474733199 G2 green
1.173428407 G2 green
0.253400639 G2 green
1.24282559 G2 green
-1.635722797 G2 green
1.117800623 G2 green
1.420143774 G2 green
-0.115477974 G2 green
-1.664794315 G2 green
-0.20415711 G2 green
-0.030523387 G2 green
-1.114638576 G2 green
1.763658175 G2 green
1.347687687 G2 green
0.196438469 G2 green
1.223445068 G2 green
-0.929802446 G2 green
0.798707498 G2 green
-0.932346206 G2 green
-0.913735199 G2 green
-0.24461174 G2 green
-0.770712531 G2 green
-1.936606963 G2 green
-0.993606452 G2 green
0.402495306 G2 green
0.844000795 G2 green
-0.503257436 G2 green
0.144850814 G2 green
1.67336402 G2 green
0.534505302 G2 green
1.150799486 G2 green
-0.871088095 G2 green
-0.381761956 G2 green
-0.917983333 G2 green
1.117955146 G2 green
-0.943564437 G2 green
-0.64391568 G2 green
-0.063199372 G2 green
-0.790594374 G2 green
0.010862424 G2 green
-0.556408344 G2 green
0.645762995 G2 green
0.236132143 G2 green
-1.55655928 G2 green
-1.283209098 G2 green
0.202564064 G2 green
-0.410859342 G2 green
-0.463277439 G2 green
0.124938605 G2 green
0.106799751 G2 green
0.373242315 G2 green
0.759631812 G2 green
-0.45499968 G2 green
0.863317576 G2 green
-2.51083786 G2 green
-0.253276111 G2 green
0.556806154 G2 green
-1.699589622 G2 green
-0.598835762 G2 green
1.060763265 G3 blue
1.664920728 G3 blue
-0.346905394 G3 blue
1.670791287 G3 blue
0.997689873 G3 blue
-1.388236106 G3 blue
-0.326182746 G3 blue
-1.431076029 G3 blue
0.275068385 G3 blue
-2.132264981 G3 blue
-1.108658603 G3 blue
0.741316488 G3 blue
-0.595285699 G3 blue
0.84251623 G3 blue
-1.231564458 G3 blue
-0.731162326 G3 blue
-0.001203504 G3 blue
0.148060272 G3 blue
1.180406289 G3 blue
0.876880769 G3 blue
1.053594296 G3 blue
-0.170874462 G3 blue
-1.246372969 G3 blue
-1.068907017 G3 blue
-1.256667958 G3 blue
-0.888821068 G3 blue
0.910366056 G3 blue
1.459567001 G3 blue
0.25920535 G3 blue
0.927425578 G3 blue
-0.198811184 G3 blue
0.243192239 G3 blue
0.095675999 G3 blue
-0.171943539 G3 blue
0.584860214 G3 blue
-0.59231828 G3 blue
-1.515814831 G3 blue
-1.254312407 G3 blue
-0.231044365 G3 blue
-0.846218597 G3 blue
0.657841979 G3 blue
1.228793462 G3 blue
-0.132378344 G3 blue
-0.218752156 G3 blue
-0.549946914 G3 blue
0.263550248 G3 blue
0.189287456 G3 blue
0.304582452 G3 blue
-0.262170551 G3 blue
0.813092148 G3 blue
1.296021916 G3 blue
-1.23576868 G3 blue
-0.476520228 G3 blue
-0.468614663 G3 blue
-0.310751819 G3 blue
-0.225354608 G3 blue
-2.074887243 G3 blue
-0.602598527 G3 blue
-0.252491609 G3 blue
0.795847234 G3 blue
0.934989134 G3 blue
2.450292833 G3 blue
1.30333681 G3 blue
0.499923338 G3 blue
-0.360784303 G3 blue
0.568739005 G3 blue
-1.622683683 G3 blue
-0.909400731 G3 blue
-0.764426426 G3 blue
3.497455048 G3 blue
0.631270939 G3 blue
0.587490443 G3 blue
0.479811866 G3 blue
1.86175409 G3 blue
0.1724159 G3 blue
-1.464513345 G3 blue
-0.759316111 G3 blue
0.187185083 G3 blue
-0.584778103 G3 blue
1.317173788 G3 blue
-0.195067432 G3 blue
0.474514329 G3 blue
-0.706051089 G3 blue
-0.005857432 G3 blue
1.225346323 G3 blue
-0.066710439 G3 blue
-2.241423701 G3 blue
0.183640505 G3 blue
-0.502257441 G3 blue
-0.588285149 G3 blue
1.538016125 G3 blue
-0.097824485 G3 blue
-0.918731349 G3 blue
-2.434626935 G3 blue
1.683903316 G3 blue
0.702727899 G3 blue
0.778253947 G3 blue
-0.074881389 G3 blue
1.41915058 G3 blue
0.295395737 G3 blue
0.137191441 G3 blue
0.455728057 G3 blue
0.774509263 G3 blue
-0.623537417 G3 blue
1.148158248 G3 blue
-0.380868682 G3 blue
0.607282124 G3 blue
-0.073773725 G3 blue
1.056164971 G3 blue
0.328431852 G3 blue
-0.424557721 G3 blue
1.734499249 G3 blue
-1.74637014 G3 blue
1.066050368 G3 blue
-0.94451956 G3 blue
0.119696368 G3 blue
1.580979518 G3 blue
0.366103288 G3 blue
-1.624786443 G3 blue
1.16299935 G3 blue
1.264978655 G3 blue
-0.106326122 G3 blue
1.429018858 G3 blue
0.076304488 G3 blue
-0.573173156 G3 blue
0.980350426 G3 blue
-0.489706609 G3 blue
0.846398859 G3 blue
-0.060255068 G3 blue
0.905538899 G3 blue
0.196533222 G3 blue
0.640013826 G3 blue
1.170677456 G3 blue
0.449204705 G3 blue
-0.06763589 G3 blue
0.740353714 G3 blue
-1.668223196 G3 blue
-1.043238606 G3 blue
0.168180479 G3 blue
-1.267158719 G3 blue
-0.87182559 G3 blue
-1.090377304 G3 blue
0.805801712 G3 blue
-0.461456419 G3 blue
0.825886637 G3 blue
1.165602764 G3 blue
-0.030308213 G3 blue
-1.15906797 G3 blue
-0.083694013 G3 blue
-1.156245616 G3 blue
1.718522911 G3 blue
0.587296211 G3 blue
0.444860237 G3 blue
-0.395466367 G3 blue
-0.372069977 G3 blue
1.771317931 G3 blue
0.143692351 G3 blue
-1.033896497 G3 blue
-0.470089505 G3 blue
1.875328294 G3 blue
-1.62691312 G3 blue
1.724543568 G3 blue
-0.081760992 G3 blue
-0.425897676 G3 blue
0.355344985 G3 blue
1.172931765 G3 blue
2.419071439 G3 blue
-0.593385882 G3 blue
-0.712046835 G3 blue
0.331719593 G3 blue
-0.138552649 G3 blue
0.732510499 G3 blue
-0.09201591 G3 blue
-0.995170047 G3 blue
0.458907024 G3 blue
-0.265778966 G3 blue
-0.338473797 G3 blue
-0.000498413 G3 blue
2.704633364 G3 blue
-0.105814484 G3 blue
-0.061614003 G3 blue
-1.194382359 G3 blue
1.363785459 G3 blue
0.141111595 G3 blue
2.19815347 G3 blue
-0.365372562 G3 blue
1.827073824 G3 blue
-1.680245145 G3 blue
-0.236693334 G3 blue
-0.531295485 G3 blue
-0.336084857 G3 blue
1.688628349 G3 blue
-1.143709276 G3 blue
-0.272794291 G3 blue
-0.020649084 G3 blue
-0.103821426 G3 blue
-0.046886695 G3 blue
-3.450860736 G3 blue
0.43348147 G3 blue
-0.03084487 G3 blue
-1.159239186 G3 blue
-1.456793608 G3 blue
1.245597347 G3 blue
0.263442368 G3 blue
-0.589836063 G3 blue
-0.712683944 G3 blue
1.076627048 G3 blue
-0.068401582 G3 blue
0.241106655 G3 blue
-0.460002927 G3 blue
-0.574182328 G3 blue
-1.044467774 G3 blue
-0.632235547 G3 blue
0.934701068 G3 blue
1.074248051 G3 blue
-0.989319372 G3 blue
1.807736762 G3 blue
-0.180279904 G3 blue
0.088090737 G3 blue
-1.766884642 G3 blue
-0.752441637 G3 blue
-0.288408675 G3 blue
0.608198074 G3 blue
0.925320477 G3 blue
-0.30359192 G3 blue
-0.153212711 G3 blue
1.457572777 G3 blue
0.189653432 G3 blue
-0.903917296 G3 blue
-1.437460048 G3 blue
-0.497906608 G3 blue
0.749495996 G3 blue
0.487732855 G3 blue
-0.7487596 G3 blue
0.493969165 G3 blue
0.453556825 G3 blue
0.249340911 G3 blue
0.90876022 G3 blue
1.338446481 G3 blue
0.684151225 G3 blue
0.821859526 G3 blue
-0.52883727 G3 blue
-0.469405895 G3 blue
-0.297922058 G3 blue
1.31585627 G3 blue
1.386970218 G3 blue
0.091560066 G3 blue
-0.237945368 G3 blue
-0.325738093 G3 blue
-0.994789841 G3 blue
1.19918023 G3 blue
-0.590425635 G3 blue
-0.237020401 G3 blue
1.876219166 G3 blue
0.138681418 G3 blue
-0.060401557 G3 blue
-1.223249848 G3 blue
1.42053456 G3 blue
0.293412692 G3 blue
0.975608786 G3 blue
0.139436843 G3 blue
-0.329566948 G3 blue
-0.493972741 G3 blue
-2.741210896 G3 blue
2.055554524 G3 blue
-0.449856807 G3 blue
1.865284039 G3 blue
0.394078983 g4 yellow
-0.023927059 g4 yellow
-0.133008241 g4 yellow
-0.072543746 g4 yellow
-1.03023614 g4 yellow
-0.694667215 g4 yellow
-0.057429048 g4 yellow
0.140203735 g4 yellow
-1.483606782 g4 yellow
0.751652432 g4 yellow
-1.176165796 g4 yellow
-0.437102487 g4 yellow
-0.214170071 g4 yellow
0.217972247 g4 yellow
-0.586298021 g4 yellow
1.401144454 g4 yellow
-1.02165664 g4 yellow
-1.332530169 g4 yellow
-1.128434738 g4 yellow
1.691971674 g4 yellow
0.145639105 g4 yellow
0.289001438 g4 yellow
1.224032795 g4 yellow
-0.601393572 g4 yellow
-0.716458007 g4 yellow
-1.462809703 g4 yellow
1.741022023 g4 yellow
0.131406137 g4 yellow
1.093041759 g4 yellow
-1.456991305 g4 yellow
-0.767373252 g4 yellow
-0.277711241 g4 yellow
0.341417441 g4 yellow
-1.090646979 g4 yellow
-0.646958559 g4 yellow
-0.079517811 g4 yellow
1.395959504 g4 yellow
-1.06145589 g4 yellow
-0.097113291 g4 yellow
0.530827843 g4 yellow
0.688087958 g4 yellow
-1.559911081 g4 yellow
0.863040663 g4 yellow
-0.038615268 g4 yellow
-0.001768623 g4 yellow
0.771699844 g4 yellow
0.580217307 g4 yellow
1.478885375 g4 yellow
0.754067591 g4 yellow
0.94434364 g4 yellow
1.423033817 g4 yellow
1.389705037 g4 yellow
-1.816308656 g4 yellow
-0.30177842 g4 yellow
-0.779477785 g4 yellow
-0.931430804 g4 yellow
0.723288969 g4 yellow
0.847570437 g4 yellow
-0.765605155 g4 yellow
1.780378759 g4 yellow
-0.551105499 g4 yellow
-1.67093896 g4 yellow
-0.079727905 g4 yellow
0.345226151 g4 yellow
0.563639886 g4 yellow
1.608074592 g4 yellow
-0.518389082 g4 yellow
1.014655575 g4 yellow
0.366828265 g4 yellow
0.20300761 g4 yellow
-1.137447322 g4 yellow
0.04702937 g4 yellow
0.536338904 g4 yellow
0.033566993 g4 yellow
-0.482236928 g4 yellow
-0.842617559 g4 yellow
0.395843835 g4 yellow
-0.814200845 g4 yellow
-0.106131661 g4 yellow
-2.060006453 g4 yellow
-0.152405205 g4 yellow
0.734503305 g4 yellow
-0.153110905 g4 yellow
1.108021222 g4 yellow
0.040693743 g4 yellow
0.723732634 g4 yellow
-0.125076794 g4 yellow
-0.114149755 g4 yellow
-0.075321204 g4 yellow
-1.061893412 g4 yellow
-0.005134726 g4 yellow
0.107693063 g4 yellow
0.092734422 g4 yellow
-0.913134111 g4 yellow
-0.401139888 g4 yellow
-0.540093754 g4 yellow
-0.302218705 g4 yellow
1.042367968 g4 yellow
-0.05010184 g4 yellow
0.172155193 g4 yellow
-0.399633785 g4 yellow
1.092789346 g4 yellow
-0.498065943 g4 yellow
-0.790521284 g4 yellow
1.326646592 g4 yellow
-1.917591704 g4 yellow
0.956535987 g4 yellow
0.106170233 g4 yellow
0.790147269 g4 yellow
-0.360212884 g4 yellow
2.372467773 g4 yellow
-0.162980131 g4 yellow
1.137870825 g4 yellow
-0.446596713 g4 yellow
1.075059152 g4 yellow
0.293677066 g4 yellow
-0.03442972 g4 yellow
-1.670101662 g4 yellow
0.946977174 g4 yellow
-1.136741092 g4 yellow
0.351905602 g4 yellow
-0.79050638 g4 yellow
-1.38863514 g4 yellow
-0.455745929 g4 yellow
-0.841666663 g4 yellow
0.95511647 g4 yellow
0.349621514 g4 yellow
1.302465007 g4 yellow
-0.080529774 g4 yellow
-0.788897581 g4 yellow
1.35812668 g4 yellow
-0.992202917 g4 yellow
0.033188001 g4 yellow
0.694891379 g4 yellow
0.447968466 g4 yellow
-0.961133204 g4 yellow
-1.758977945 g4 yellow
-1.093890982 g4 yellow
0.425523055 g4 yellow
2.281017088 g4 yellow
-0.879799783 g4 yellow
0.158433041 g4 yellow
0.009253879 g4 yellow
-0.406109237 g4 yellow
0.105869689 g4 yellow
-0.089950916 g4 yellow
2.35421941 g4 yellow
1.008880032 g4 yellow
-0.881539187 g4 yellow
0.683900494 g4 yellow
0.005343708 g4 yellow
0.131226367 g4 yellow
0.374208323 g4 yellow
0.715769545 g4 yellow
-1.578540839 g4 yellow
0.234386292 g4 yellow
-0.174773995 g4 yellow
-0.047866952 g4 yellow
0.40494918 g4 yellow
0.346218828 g4 yellow
0.511712315 g4 yellow
1.580720722 g4 yellow
1.022390973 g4 yellow
-0.792185869 g4 yellow
0.449560486 g4 yellow
-1.693680619 g4 yellow
-0.788465759 g4 yellow
2.154758164 g4 yellow
-0.991606785 g4 yellow
-1.269678065 g4 yellow
2.245941579 g4 yellow
-0.082514572 g4 yellow
0.424473431 g4 yellow
0.888575263 g4 yellow
0.187913632 g4 yellow
-0.85929296 g4 yellow
1.368690795 g4 yellow
1.012155501 g4 yellow
-2.585969614 g4 yellow
0.791928029 g4 yellow
0.13495826 g4 yellow
-0.525634216 g4 yellow
2.090341675 g4 yellow
0.174205491 g4 yellow
0.334751496 g4 yellow
-0.381155503 g4 yellow
0.335715982 g4 yellow
2.276411314 g4 yellow
1.424788335 g4 yellow
-0.338146548 g4 yellow
1.396122807 g4 yellow
-1.635606336 g4 yellow
-0.985943711 g4 yellow
-0.259104818 g4 yellow
0.723118558 g4 yellow
0.467714202 g4 yellow
0.627421202 g4 yellow
-0.240631899 g4 yellow
-0.033854423 g4 yellow
-1.329330816 g4 yellow
-0.275294028 g4 yellow
-1.338094191 g4 yellow
-0.12159502 g4 yellow
1.393317348 g4 yellow
-0.055803325 g4 yellow
-0.507691118 g4 yellow
0.337295498 g4 yellow
0.370688837 g4 yellow
-0.53502076 g4 yellow
-0.381002596 g4 yellow
1.825050783 g4 yellow
0.948372939 g4 yellow
-1.889093117 g4 yellow
1.103634561 g4 yellow
-1.234683509 g4 yellow
0.865912618 g4 yellow
0.020487233 g4 yellow
0.858165336 g4 yellow
-1.506447332 g4 yellow
0.495804021 g4 yellow
1.204195051 g4 yellow
0.762098974 g4 yellow
0.39941825 g4 yellow
0.893081334 g4 yellow
-0.863406492 g4 yellow
0.196700635 g4 yellow
1.470296366 g4 yellow
0.308714907 g4 yellow
-2.035638282 g4 yellow
0.809740454 g4 yellow
0.861498964 g4 yellow
0.208805463 g4 yellow
-0.670291308 g4 yellow
1.707625681 g4 yellow
0.561720946 g4 yellow
0.978482666 g4 yellow
-1.075446371 g4 yellow
-0.950451959 g4 yellow
0.060112679 g4 yellow
0.562002315 g4 yellow
2.346982626 g4 yellow
-0.016088727 g4 yellow
0.64614579 g4 yellow
-1.138461765 g4 yellow
-0.460223436 g4 yellow
0.193046458 g4 yellow
0.172779924 g4 yellow
0.170232253 g4 yellow
0.181464346 g4 yellow
-1.488592446 g4 yellow
0.159117768 g4 yellow
